Time_Stamp,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,estimated_charging_time,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,PACK_V_SUM_OF_CELLS,vehicle_speed,Torque_Measured,Torque_Request,MotorTemperature,Odometer,DC_Link_Voltage,DC_Link_Current,Speed_Measured,right_indicator,left_indicator_st,brightness_st,charging_status,Charge_Voltage,Charge_Current,charging_plug_feedback,park_brake_st,R_position_selected,D_position_selected,CELL_T_MIN_ID_CMU,CELL_T_MAX_ID_CMU
2024-12-16 16:14:27,39.74713083333333,30.47519983333333,816.5,11.8,5.12,4,8 saat 20 dakika,69.11,68.09,3296.8,3306.2000000000003,3303.0,49.5,13.5,21.0,21.0,22,875.3000000000001,49.5,79,1195,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,ON,Not pressed,Pressed,0,0
2024-12-16 16:14:28,39.74713083333333,30.4752,816.5,12.02,5.12,4,8 saat 20 dakika,69.11,68.09,3297.0,3306.4,3303.3,49.5,13.5,21.0,21.0,22,875.3000000000001,49.5,79,1195,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,ON,Not pressed,Pressed,0,0
2024-12-16 16:14:29,39.74713066666666,30.475200666666662,816.4,12.02,5.12,4,8 saat 19 dakika,69.11,68.09,3297.1000000000004,3306.7000000000003,3303.4,49.6,13.5,21.0,21.0,23,875.3000000000001,49.5,79,1195,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,ON,Not pressed,Pressed,0,0
2024-12-16 16:14:30,39.7471305,30.475201,816.3,12.81,5.12,4,8 saat 10 dakika,69.11,68.09,3297.5,3306.9,3303.8,49.6,13.5,21.0,21.0,22,875.3000000000001,49.5,79,1195,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,ON,Not pressed,Pressed,0,0
2024-12-16 16:14:31,39.74713083333333,30.47520133333333,816.2,12.81,5.16,4,8 saat 6 dakika,69.11,68.09,3297.7000000000003,3307.2000000000003,3304.0,49.6,13.5,21.0,21.0,23,875.3000000000001,49.5,79,1195,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,ON,Not pressed,Pressed,0,0
2024-12-16 16:14:32,39.747131,30.475201666666667,816.1,12.14,5.16,4,8 saat 6 dakika,69.11,68.09,3297.8,3307.2000000000003,3304.1000000000004,49.6,13.5,21.0,21.0,22,875.3000000000001,49.5,79,1195,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-16 16:14:33,39.747131333333336,30.475202,816.0,12.14,5.12,4,8 saat 10 dakika,69.11,68.09,3297.9,3307.3,3304.3,49.6,13.5,21.0,21.0,22,875.3000000000001,49.5,79,1195,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-16 16:14:34,39.7471315,30.475202666666668,816.0,12.0,5.12,4,8 saat 23 dakika,69.11,68.09,3298.2000000000003,3307.6000000000004,3304.4,49.6,13.5,21.0,21.0,22,875.3000000000001,49.5,79,1195,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-16 16:14:35,39.74713183333333,30.475203,815.9,12.0,5.12,2,8 saat 19 dakika,69.11,68.09,3298.3,3307.7000000000003,3304.6000000000004,49.6,13.5,21.0,21.0,23,875.3000000000001,49.5,79,-32,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-16 16:14:36,39.74713216666667,30.475202666666668,815.7,12.08,5.16,4,201 saat 41 dakika,69.11,68.09,3293.8,3303.8,3300.2000000000003,49.5,0.5,20.0,20.0,23,875.3000000000001,49.4375,19,60,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
