Time_Stamp,latitude,longitude,altitude,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,PACK_V_SUM_OF_CELLS,vehicle_speed,Torque_Measured,Torque_Request,MotorTemperature,Odometer,DC_Link_Voltage,DC_Link_Current,Speed_Measured,right_indicator,left_indicator_st,brightness_st,charging_status,Charge_Voltage,Charge_Current,charging_plug_feedback,park_brake_st,R_position_selected,D_position_selected,CELL_T_MIN_ID_CMU,CELL_T_MAX_ID_CMU
2024-07-17 14:26:44,39.747131108839326,30.474915866377525,819.7,54.4,52.94,3285.6100000000006,3292.53,3289.2,49.3,0.0,0.0,0.0,60.24,412.1,49.3125,0.0,0.0,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:45,39.74713212098765,30.474916469547324,819.7,54.4,52.94,3285.6800000000003,3292.5199999999995,3289.25,49.3,0.0454545454545454,0.16,0.2647058823529412,60.16,412.1,49.3125,0.16,13.76,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:46,39.74713200848861,30.47491539275362,819.7,54.393,52.93300000000001,3283.24,3290.0,3286.6800000000003,49.3,1.5,13.6,14.030303030303031,60.06,412.1,49.2175,17.82,148.49,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:47,39.74713262299135,30.474913620107127,819.7,54.39,52.92999999999999,3282.74,3289.7700000000004,3286.29,49.3,3.9558823529411766,7.7,7.363636363636363,60.08,412.1,49.24,11.42,359.3,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:48,39.74713689377063,30.474903010519803,821.4,54.39,52.92999999999999,3284.9100000000008,3291.8100000000004,3288.5100000000007,49.3,5.2727272727272725,1.19,1.2647058823529411,60.06,412.1,49.3075,2.52,470.3,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:49,39.74714533932259,30.47488850268484,823.5,54.39,52.92999999999999,3283.6700000000005,3290.54,3287.2,49.3,6.757575757575758,3.97,4.0,60.08,412.1,49.2575,9.04,601.86,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:50,39.74715639660877,30.474879344086023,821.8,54.39,52.92999999999999,3282.4300000000003,3289.4700000000003,3286.0700000000006,49.3,8.573529411764707,5.75,5.848484848484849,60.04,412.1,49.20875,15.44,754.29,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:51,39.74717230230168,30.474877564734896,822.1,54.39,52.92999999999999,3278.6600000000008,3285.46,3282.25,49.220000000000006,10.62121212121212,10.75,10.911764705882351,60.02,412.1,49.0925,33.06,932.62,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:52,39.74719192060531,30.474874638059703,822.4,54.384,52.924,3273.1400000000003,3282.2300000000005,3278.49,49.2,12.484848484848484,12.91,12.787878787878787,60.06,412.1,48.995,43.88,1094.2,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:53,39.74722114318088,30.47486797919242,822.1,54.38000000000001,52.92,3280.26,3287.38,3283.94,49.25000000000001,13.720588235294118,1.44,1.0303030303030305,60.1,412.1,49.22875,9.66,1192.94,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:54,39.7472521474359,30.474861256410257,819.7,54.38000000000001,52.92,3289.0800000000004,3296.35,3293.0600000000004,49.400000000000006,12.363636363636363,-9.6,-9.5,60.0,412.1,49.465,-17.52,1081.21,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-07-17 14:26:55,39.74728192058581,30.4748600309406,821.8,54.38000000000001,52.92,3285.3,3292.28,3288.9100000000008,49.35000000000001,11.166666666666666,0.74,1.5454545454545454,60.0,412.1363636363637,49.28,7.86,977.15,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
