Time_Stamp,latitude,longitude,altitude,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,PACK_V_SUM_OF_CELLS,vehicle_speed,Torque_Measured,Torque_Request,MotorTemperature,Odometer,DC_Link_Voltage,DC_Link_Current,Speed_Measured,right_indicator,left_indicator_st,brightness_st,charging_status,Charge_Voltage,Charge_Current,charging_plug_feedback,park_brake_st,R_position_selected,D_position_selected,CELL_T_MIN_ID_CMU,CELL_T_MAX_ID_CMU
2024-06-26 16:53:37,39.74711716666667,30.47489483333333,821.4,68.28,67.23,3285.9800000000005,3296.5600000000004,3293.4800000000005,49.400000000000006,5.4375,61.0,61.0,69.04081632653062,324.40000000000003,48.892857142857146,127.20408163265306,324.53061224489795,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:38,39.74711640918409,30.474896348298483,821.4,68.273,67.223,3271.04,3285.8200000000006,3281.7200000000003,49.23,9.426470588235292,61.0,61.0,69.03960396039604,324.40000000000003,48.50123762376238,175.46,668.36,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:39,39.747116789801,30.47490684660033,819.7,68.257,67.20700000000001,3246.3100000000004,3270.6400000000003,3265.09,48.98,14.712121212121213,61.0,61.0,69.08,324.40000000000003,48.00875,241.38,1119.18,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:40,39.74711668234323,30.474927613036304,819.7,68.238,67.188,3226.6000000000004,3254.96,3247.8900000000003,48.720000000000006,19.939393939393938,60.948125,61.0,69.06,324.40000000000003,47.51875,308.76,1568.2,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:41,39.74712047795632,30.47496259620931,819.9,68.212,67.162,3221.44,3250.0600000000004,3241.6800000000003,48.63,24.66176470588235,52.444375,58.94117647058823,69.16,324.40000000000003,47.46,309.7,1968.29,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:42,39.74712431990912,30.47500947624948,822.1,68.189,67.139,3228.15,3253.9300000000003,3246.5600000000004,48.690000000000005,28.21212121212121,39.925625,49.03030303030303,69.22,324.40000000000003,47.66125,275.6,2271.22,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:43,39.747128205128206,30.47506798717949,822.3,68.168,67.11800000000001,3226.77,3254.36,3247.45,48.73,30.727272727272727,33.06,43.06060606060606,69.32,324.40000000000003,47.78125,256.96,2486.19,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:44,39.74713154187192,30.475141094211825,822.6,68.147,67.09700000000001,3229.2200000000003,3253.92,3246.6,48.7,32.85294117647059,29.93375,38.97058823529412,69.5,324.40000000000003,47.72125,251.34,2663.02,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:45,39.74713594154229,30.475221918739635,822.6,68.128,67.078,3224.62,3256.69,3248.07,48.73,34.45454545454545,27.441875,35.96969696969697,69.54,324.40000000000003,47.8475,241.72,2802.92,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:46,39.747138900494434,30.475316434487024,822.7,68.10900000000001,67.059,3237.11,3257.09,3249.3,48.760000000000005,35.93939393939394,25.335,33.75757575757576,69.76,324.40000000000003,47.8175,232.0,2924.59,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:47,39.74714205899341,30.475415314356432,823.1,68.091,67.04100000000001,3232.6600000000003,3255.9800000000005,3249.3100000000004,48.74,36.91176470588236,23.7525,31.794117647058822,69.92,324.40000000000003,47.9025,225.64,3014.73,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:48,39.74714308715407,30.47551037195374,823.4,68.074,67.024,3233.61,3258.28,3251.4500000000003,48.75000000000001,37.66666666666666,22.631875,30.63636363636364,69.96,324.40000000000003,48.03375,217.6,3077.19,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:49,39.74714331513647,30.47560561248966,823.8,68.056,67.006,3233.9700000000003,3257.55,3250.8700000000003,48.760000000000005,38.30303030303031,21.708125,29.818181818181817,70.0,324.4363636363637,47.9325,211.32,3130.68,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:50,39.74714661570078,30.475710161734483,824.0,68.04,66.99,3237.5,3258.44,3251.61,48.78000000000001,38.9264705882353,21.050625,29.0,70.06,324.5,47.99625,207.92,3183.69,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:51,39.74714759111664,30.475817370900785,824.2,68.024,66.974,3234.77,3257.35,3250.9200000000005,48.78000000000001,39.43939393939394,20.65,28.12121212121212,70.14,324.5,47.9825,207.28,3228.48,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:52,39.74714691470951,30.475927120313145,824.5,68.006,66.956,3233.13,3258.9100000000003,3251.3100000000004,48.790000000000006,39.89705882352941,20.301875,27.818181818181817,70.2,324.5,48.02375,207.28,3266.84,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:53,39.74714562871287,30.47603509034653,825.0,67.99,66.932,3237.65,3257.0200000000004,3251.04,48.760000000000005,40.48484848484848,19.868125,27.0,70.4,324.5,47.9475,204.52,3315.49,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:54,39.747145805245765,30.47614729946304,825.1,67.974,66.914,3233.1000000000004,3258.71,3251.52,48.78000000000001,41.42424242424242,19.109375,26.151515151515152,70.44,324.5,47.995,201.28,3398.73,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:55,39.747145380479736,30.476262181555004,825.4,67.95700000000001,66.897,3240.4500000000003,3257.4100000000003,3251.6600000000003,48.78000000000001,42.19117647058823,18.38875,22.27272727272728,70.5,324.5,48.05875,197.8,3461.04,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:56,39.74714654500617,30.47637752198932,825.8,67.943,66.883,3245.61,3264.79,3259.3300000000004,48.870000000000005,42.54545454545455,14.31,14.176470588235292,70.48,324.5,48.3375,148.8,3492.77,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:57,39.74714545273632,30.476492246268656,826.0,67.932,66.872,3273.35,3284.8300000000004,3281.29,49.23,41.77272727272727,2.24,1.606060606060606,70.7,324.5,49.17,29.02,3423.81,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:58,39.747144874174914,30.476605198432345,826.0,67.936,66.876,3298.79,3310.3900000000003,3305.3900000000003,49.58,39.39705882352941,-6.52,-6.393939393939394,70.72,324.5,49.70875,-45.5,3219.69,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:53:59,39.74714589039967,30.47670992233209,826.1,67.94,66.88,3292.0800000000004,3300.99,3297.88,49.46,37.25757575757576,-2.16,-2.5588235294117645,70.66,324.5,49.525,-11.52,3038.76,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:54:00,39.7471444448575,30.476817185254028,826.2,67.94,66.88,3307.9300000000003,3321.1700000000005,3315.06,49.71,34.303030303030305,-13.23,-13.333333333333334,70.7,324.54848484848486,50.00125,-76.02,2783.04,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:54:01,39.747144038461535,30.47691469230769,826.3,67.947,66.887,3312.04,3330.44,3319.9800000000005,49.8,30.47058823529412,-16.92,-17.03030303030303,70.78,324.6,50.10875,-81.44,2456.12,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:54:02,39.747146433497534,30.47700939100985,826.7,67.95,66.89,3303.5700000000006,3314.6700000000005,3309.88,49.650000000000006,27.060606060606062,-2.94125,-2.0,70.76,324.6,49.58625,-5.48,2164.71,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:54:03,39.747152319444446,30.477094791666666,826.6,67.949,66.889,3272.29,3284.3,3280.4,49.2,26.57575757575757,20.51,20.727272727272727,70.92,324.6,48.67,125.52,2125.64,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:54:04,39.74716642244225,30.47716615511551,826.7,67.938,66.878,3255.53,3276.1800000000003,3271.3500000000004,49.06,27.279411764705884,26.98875,27.33333333333333,70.88,324.6,48.39,168.44,2182.47,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
2024-06-26 16:54:05,39.747194664812525,30.47723259435517,826.7,67.92,66.86,3229.69,3253.99,3246.44,48.7,29.07575757575757,37.21125,45.47058823529412,70.92,324.6,47.7325,266.3,2342.11,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0.0,0.0
