Time_Stamp,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,estimated_charging_time,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,PACK_V_SUM_OF_CELLS,vehicle_speed,Torque_Measured,Torque_Request,MotorTemperature,Odometer,DC_Link_Voltage,DC_Link_Current,Speed_Measured,right_indicator,left_indicator_st,brightness_st,charging_status,Charge_Voltage,Charge_Current,charging_plug_feedback,park_brake_st,R_position_selected,D_position_selected,CELL_T_MIN_ID_CMU,CELL_T_MAX_ID_CMU
2024-12-17 13:05:22,39.7473165,30.474889166666667,819.0,24.64,5.58,2,False,52.76,51.25,3262.6000000000004,3269.5,3267.5,49.0,16.0,-1.0,-2.0,25,897.2,49.125,-2,1375,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:23,39.7473475,30.47489016666667,819.0,25.1,5.58,0,6 saat 14 dakika,52.76,51.25,3285.0,3292.0,3290.0,49.400000000000006,16.0,7.0,7.0,25,897.2,49.0,22,1359,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:24,39.747379333333335,30.47489016666667,819.4,25.1,5.58,4,False,52.76,51.25,3193.4,3205.5,3201.1000000000004,48.0,17.5,32.0,32.0,25,897.2,47.625,151,1548,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:25,39.747417,30.474891166666666,819.4,24.59,5.58,6,False,52.75,51.24,3165.6000000000004,3185.9,3180.2000000000003,47.7,21.5,30.0,30.0,24,897.2,47.1875,168,1862,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:26,39.747459166666665,30.4748895,819.4,24.59,5.58,7,False,52.73,51.22,3168.6000000000004,3177.5,3174.0,47.6,24.5,26.0,26.0,24,897.2,47.75,162,2129,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:27,39.7475,30.474879833333333,819.0,24.67,5.58,7,False,52.72,51.21,3165.0,3175.5,3171.1000000000004,47.6,27.0,23.0,23.0,25,897.3000000000001,47.25,156,2349,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:28,39.74754433333333,30.474865166666667,819.2,24.67,5.58,7,False,52.71,51.2,3171.0,3184.8,3180.4,47.7,29.5,21.0,21.0,24,897.3000000000001,47.6875,153,2540,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:29,39.747605166666666,30.4748615,818.7,25.19,5.58,7,False,52.7,51.19,3170.1000000000004,3179.6000000000004,3175.9,47.6,31.5,19.0,19.0,25,897.3000000000001,47.25,145,2744,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:30,39.747671833333335,30.474855666666667,818.9,25.19,5.58,6,False,52.68,51.17,3175.7000000000003,3188.0,3181.4,47.7,33.5,16.0,16.0,25,897.3000000000001,47.25,128,2897,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:31,39.7477425,30.4748545,818.4,24.48,5.58,4,2 saat 8 dakika,52.68,51.17,3290.1000000000004,3302.7000000000003,3295.6000000000004,49.400000000000006,33.5,-9.0,-9.0,25,897.3000000000001,49.5,-56,2883,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:32,39.7478125,30.474855,818.0,24.48,5.58,2,2 saat 20 dakika,52.68,51.17,3297.6000000000004,3306.4,3303.1000000000004,49.5,32.0,-9.0,-9.0,25,897.3000000000001,49.5625,-52,2767,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:33,39.7478775,30.474857333333333,817.5,24.45,5.58,-4,2 saat 16 dakika,52.69,51.18,3304.3,3315.3,3310.1000000000004,49.7,30.5,-10.0,-10.0,25,897.3000000000001,49.75,-54,2644,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:34,39.74794283333333,30.474857333333333,816.8,24.45,5.58,-2,False,52.69,51.18,3258.0,3265.0,3263.0,48.900000000000006,30.5,5.0,5.0,25,897.3000000000001,48.8125,36,2639,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-17 13:05:35,39.74800316666666,30.474858333333334,816.2,24.5,5.58,-2,False,52.69,51.18,3249.9,3256.5,3254.6000000000004,48.8,31.0,6.0,6.0,26,897.3000000000001,48.625,45,2701,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
