Time_Stamp,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,estimated_charging_time,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,PACK_V_SUM_OF_CELLS,vehicle_speed,Torque_Measured,Torque_Request,MotorTemperature,Odometer,DC_Link_Voltage,DC_Link_Current,Speed_Measured,right_indicator,left_indicator_st,brightness_st,charging_status,Charge_Voltage,Charge_Current,charging_plug_feedback,park_brake_st,R_position_selected,D_position_selected,CELL_T_MIN_ID_CMU,CELL_T_MAX_ID_CMU
2024-12-12 11:18:24,39.74734166666666,30.474893833333333,820.1,11.84,9.67,2,False,39.01,37.09,3212.1000000000004,3226.5,3223.1000000000004,48.3,19.0,13.0,13.0,18,855.7,48.1875,63,1656,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:25,39.74738166666667,30.4748945,820.1,12.85,9.67,2,False,39.01,37.09,3211.7000000000003,3222.0,3218.6000000000004,48.3,21.0,12.0,12.0,18,855.7,48.375,62,1809,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:26,39.74742716666667,30.474892666666666,820.1,12.85,9.62,2,False,39.0,37.08,3212.5,3222.3,3218.6000000000004,48.3,22.5,12.0,12.0,18,855.7,48.125,67,1946,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:27,39.7474755,30.4748925,820.1,11.85,9.62,2,False,39.0,37.08,3230.4,3236.5,3233.5,48.5,23.5,-6.0,-7.0,18,855.7,48.8125,-22,2018,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:28,39.74752583333333,30.4748905,820.3,11.85,9.62,-4,2 saat 55 dakika,39.0,37.08,3278.6000000000004,3288.5,3283.7000000000003,49.3,20.0,-15.0,-15.0,18,855.7,49.1875,-48,1727,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:29,39.74757266666667,30.474889666666662,820.5,11.8,9.62,-6,4 saat 1 dakika,39.0,37.08,3274.4,3283.5,3278.7000000000003,49.2,17.0,-4.0,-3.0,18,855.7,48.9375,-14,1465,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:30,39.747612833333335,30.474889,820.4,11.8,9.62,-2,False,39.0,37.08,3228.5,3237.0,3234.3,48.5,17.5,11.0,11.0,18,855.7,48.5,51,1539,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:31,39.74765166666667,30.474887166666665,820.3,12.2,9.62,0,False,39.0,37.08,3219.5,3229.8,3226.4,48.400000000000006,19.5,12.0,12.0,18,855.8000000000001,48.3125,59,1709,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:32,39.7476935,30.4748855,820.3,12.2,9.62,0,False,38.99,37.06,3218.6000000000004,3227.5,3223.9,48.400000000000006,21.5,12.0,12.0,18,855.8000000000001,48.25,65,1874,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:33,39.747739333333335,30.474884166666666,820.1,11.8,9.62,2,False,38.99,37.06,3220.0,3225.9,3223.3,48.3,23.5,11.0,11.0,18,855.8000000000001,48.1875,66,2022,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:34,39.7477885,30.474885166666667,820.0,11.8,9.62,2,False,38.98,37.05,3233.5,3239.8,3236.9,48.6,24.0,-1.0,-1.0,18,855.8000000000001,48.6875,1,2096,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:35,39.74783833333333,30.474885166666667,820.6,12.05,9.62,-4,2 saat 48 dakika,38.99,37.06,3280.8,3290.9,3286.6000000000004,49.3,22.0,-10.0,-9.0,19,855.8000000000001,49.3125,-41,1902,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:36,39.74788733333333,30.474884,820.8,12.05,9.62,-4,False,38.99,37.06,3237.4,3246.1000000000004,3243.2000000000003,48.6,22.0,6.0,6.0,19,855.8000000000001,48.5625,33,1922,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:37,39.7479355,30.474883833333333,821.0,12.17,9.62,0,False,38.98,37.05,3228.0,3238.0,3234.6000000000004,48.5,23.5,8.0,8.0,19,855.8000000000001,48.4375,45,2025,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:38,39.747988,30.47488,821.3,12.17,9.62,0,False,38.98,37.05,3231.6000000000004,3238.1000000000004,3235.0,48.5,24.5,7.0,7.0,19,855.8000000000001,48.5,42,2137,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
2024-12-12 11:18:39,39.748041666666666,30.474879166666668,821.3,12.33,9.58,2,False,38.98,37.05,3230.1000000000004,3236.8,3233.6000000000004,48.5,26.0,7.0,7.0,19,855.8000000000001,48.375,45,2249,OFF,OFF,Night mode,OFF,54.8,35.0,OFF,OFF,Not pressed,Pressed,0,0
